permit id,address,description,category,value,issue date,location
6315826,9201 ASHWORTH AVE N,Establish use as and construct new 2-unit rowhouse with attached garages per plan. Demolition of existing structure under separate application (6408706),MULTIFAMILY,447696,2014-06-14 00:00:00,"{'latitude': '47.6961396', 'longitude': '-122.34013579', 'needs_recoding': False}"
6397825,4207 NE 123RD ST,Establish use and construct single family residence with attached garage per plan.,SINGLE FAMILY / DUPLEX,377491,2014-06-14 00:00:00,"{'latitude': '47.71699332', 'longitude': '-122.28210133', 'needs_recoding': False}"
6403083,2144 N 128TH ST,"Construct new single family residence with attached garage, per plans",SINGLE FAMILY / DUPLEX,321097,2014-06-18 00:00:00,"{'latitude': '47.72243148', 'longitude': '-122.33231601', 'needs_recoding': False}"
6404873,11737 1ST AVE NW,"Establish use and construct single family residence and detached accessory dwelling unit (DADU) detached garage, per plan.",SINGLE FAMILY / DUPLEX,410006,2014-06-19 00:00:00,"{'latitude': '47.71536493', 'longitude': '-122.35862433', 'needs_recoding': False}"
6404802,8042 29TH AVE NW,"Establish use as and construct new SFR, per plan.",SINGLE FAMILY / DUPLEX,494238,2014-06-19 00:00:00,"{'latitude': '47.68801568', 'longitude': '-122.39408922', 'needs_recoding': False}"
6366942,2249 14TH AVE W,"Establish use as townhouses and construct 5-unit townhouse, per plans.",MULTIFAMILY,1380000,2014-06-19 00:00:00,"{'latitude': '47.64006853', 'longitude': '-122.37530622', 'needs_recoding': False}"
6390160,1730 NW 60TH ST,"Establish use and construct 4-unit row house with surface parking, per plan.10/8/14 BS; ADD ROW",MULTIFAMILY,818443,2014-06-20 00:00:00,"{'latitude': '47.67254069', 'longitude': '-122.38031657', 'needs_recoding': False}"
6365990,2208 15TH AVE W,"Establish use as and construct apartment building with reduced parking for low income disabled units, and mechanical, and occupy, per plan.",MULTIFAMILY,5968100,2014-06-20 00:00:00,"{'latitude': '47.63892905', 'longitude': '-122.37583514', 'needs_recoding': False}"
6361965,7116 SHINKLE PL SW,"Establish use and construct 3-unit townhouse with attached garages for unit lots 75-77, per plan. Per approved Standard Plan Permit #6333776 (Building Type #4).",MULTIFAMILY,677600,2014-06-20 00:00:00,"{'latitude': '47.53866729', 'longitude': '-122.36665579', 'needs_recoding': False}"
6379364,5720 15TH AVE NE,"Establish use as apartments (6 units) with 3 surface parking spaces, and occupy, per plan.",MULTIFAMILY,924992,2014-06-20 00:00:00,"{'latitude': '47.67154619', 'longitude': '-122.31162703', 'needs_recoding': False}"
6373428,1517 NE 102ND ST,"Establish use as and construct single family residence with attached garage and detached accessory dwelling unit (DADU), and occupy, per plan.",SINGLE FAMILY / DUPLEX,445647,2014-06-20 00:00:00,"{'latitude': '47.70180351', 'longitude': '-122.31160569', 'needs_recoding': False}"
6407442,1900 S BUSH PL,"Establish use as rowhouses, construct 5 unit townhome building with no parking, and occupy, per plan.",MULTIFAMILY,913797,2014-06-21 00:00:00,"{'latitude': '47.59289731', 'longitude': '-122.30776463', 'needs_recoding': False}"
6396668,944 N 97TH ST,"Establish use as and construct south single family residence,(this permit) per plan (Establish use as and construct 3 single family residences with surface parking, per plan - processing for 3APs under 6396668)",SINGLE FAMILY / DUPLEX,188745,2014-06-21 00:00:00,"{'latitude': '47.69980541', 'longitude': '-122.34582255', 'needs_recoding': False}"
6402625,940 N 97TH ST,"Establish use as and construct north single family residence, (this permit) per plan (Establish use as and construct 3 single family residences with surface parking, per plan - processing for 3APs under 6396668)",SINGLE FAMILY / DUPLEX,203185,2014-06-21 00:00:00,"{'latitude': '47.69999095', 'longitude': '-122.34579749', 'needs_recoding': False}"
6402624,942 N 97TH ST,"Establish use as and construct middle single family residence, (this permit), per plan (Establish use as and construct 3 single family residences with surface parking, per plan - processing for 3APs under 6396668)",SINGLE FAMILY / DUPLEX,203185,2014-06-21 00:00:00,"{'latitude': '47.69991609', 'longitude': '-122.34579226', 'needs_recoding': False}"
